T2D_Sample	AvgReadLength
DLF001	75
DLF002	75
DLF003	75
DLF004	75
DLF005	75
DLF006	75
DLF007	75
DLF008	75
DLF009	90
DLF010	75
DLF012	90
DLF013	90
DLF014	90
DLM001	90
DLM002	75
DLM003	75
DLM004	75
DLM005	75
DLM006	75
DLM007	75
DLM008	75
DLM009	75
DLM010	90
DLM011	75
DLM012	90
DLM013	90
DLM014	90
DLM015	90
DLM016	90
DLM017	90
DLM018	90
DLM019	90
DLM020	90
DLM021	90
DLM022	90
DLM023	90
DLM024	90
DLM027	90
DLM028	90
DOF002	75
DOF003	90
DOF004	90
DOF006	90
DOF007	75
DOF008	90
DOF009	75
DOF010	75
DOF011	75
DOF012	75
DOF013	75
DOF014	75
DOM001	90
DOM003	90
DOM005	75
DOM008	90
DOM010	90
DOM012	75
DOM013	90
DOM014	75
DOM015	90
DOM016	90
DOM017	75
DOM018	90
DOM019	90
DOM020	75
DOM021	75
DOM022	90
DOM023	75
DOM024	75
DOM025	75
DOM026	90
NLF001	75
NLF002	75
NLF005	75
NLF006	75
NLF007	75
NLF008	90
NLF009	75
NLF010	75
NLF011	75
NLF012	90
NLF013	90
NLF014	75
NLF015	90
NLM001	75
NLM002	90
NLM003	75
NLM004	90
NLM005	75
NLM006	90
NLM007	90
NLM008	75
NLM009	75
NLM010	90
NLM015	75
NLM016	75
NLM017	75
NLM021	90
NLM022	90
NLM023	75
NLM024	90
NLM025	75
NLM026	90
NLM027	90
NLM028	90
NLM029	90
NLM031	90
NLM032	90
NOF001	75
NOF002	75
NOF004	75
NOF005	90
NOF006	75
NOF007	75
NOF008	90
NOF009	75
NOF010	90
NOF011	75
NOF012	90
NOF013	75
NOF014	75
NOM001	90
NOM002	90
NOM004	75
NOM005	90
NOM007	75
NOM008	75
NOM009	90
NOM010	90
NOM012	75
NOM013	75
NOM014	90
NOM015	90
NOM016	90
NOM017	90
NOM018	75
NOM019	90
NOM020	90
NOM022	75
NOM023	75
NOM025	90
NOM026	75
NOM027	90
NOM028	90
NOM029	75
CON-001	90
CON-002	90
CON-003	90
CON-004	90
CON-005	90
CON-006	90
CON-007	90
CON-008	90
CON-009	90
CON-010	90
CON-011	90
CON-012	90
CON-013	90
CON-014	90
CON-015	90
CON-016	90
CON-017	90
CON-018	90
CON-019	90
CON-020	90
CON-021	90
CON-022	90
CON-023	90
CON-026	90
CON-027	90
CON-028	90
CON-029	90
CON-031	90
CON-032	90
CON-033	90
CON-034	90
CON-035	90
CON-036	90
CON-037	90
CON-038	90
CON-039	90
CON-040	90
CON-041	90
CON-042	90
CON-043	90
CON-044	90
CON-045	90
CON-046	90
CON-047	90
CON-048	90
CON-049	90
CON-050	90
CON-051	90
CON-052	90
CON-053	90
CON-054	90
CON-055	90
CON-056	90
CON-057	90
CON-058	90
CON-059	90
CON-060	90
CON-061	90
CON-062	90
CON-063	90
CON-064	90
CON-065	90
CON-066	90
CON-067	90
CON-068	90
CON-069	90
CON-070	90
CON-071	90
CON-072	90
CON-073	90
CON-074	90
CON-075	90
CON-076	90
CON-077	90
CON-078	90
CON-079	90
CON-080	90
CON-081	90
CON-082	90
CON-083	90
CON-084	90
CON-085	90
CON-086	90
CON-087	90
CON-088	90
CON-089	90
CON-090	90
CON-091	90
CON-092	90
CON-093	90
CON-095	90
CON-096	90
CON-097	90
CON-098	90
CON-099	90
CON-101	90
CON-104	90
CON-105	90
CON-106	90
CON-107	90
T2D-001	90
T2D-002	90
T2D-003	90
T2D-004	90
T2D-005	90
T2D-006	90
T2D-007	90
T2D-008	90
T2D-009	90
T2D-010	90
T2D-011	90
T2D-012	90
T2D-013	90
T2D-014	90
T2D-015	90
T2D-016	90
T2D-017	90
T2D-018	90
T2D-019	90
T2D-020	90
T2D-021	90
T2D-022	90
T2D-023	90
T2D-024	90
T2D-025	90
T2D-026	90
T2D-028	90
T2D-029	90
T2D-030	90
T2D-031	90
T2D-036	90
T2D-039	90
T2D-040	90
T2D-041	90
T2D-042	90
T2D-043	90
T2D-044	90
T2D-045	90
T2D-046	90
T2D-047	90
T2D-048	90
T2D-049	90
T2D-050	90
T2D-051	90
T2D-052	90
T2D-053	90
T2D-054	90
T2D-055	90
T2D-056	90
T2D-057	90
T2D-058	90
T2D-059	90
T2D-060	90
T2D-062	90
T2D-063	90
T2D-064	90
T2D-065	90
T2D-066	90
T2D-067	90
T2D-068	90
T2D-069	90
T2D-070	90
T2D-071	90
T2D-072	90
T2D-073	90
T2D-074	90
T2D-075	90
T2D-076	90
T2D-077	90
T2D-078	90
T2D-079	90
T2D-080	90
T2D-081	90
T2D-082	90
T2D-083	90
T2D-084	90
T2D-085	90
T2D-086	90
T2D-087	90
T2D-088	90
T2D-089	90
T2D-090	90
T2D-091	90
T2D-092	90
T2D-093	90
T2D-094	90
T2D-095	90
T2D-096	90
T2D-097	90
T2D-098	90
T2D-099	90
T2D-100	90
T2D-101	90
T2D-102	90
T2D-103	90
T2D-104	90
T2D-105	90
T2D-106	90
T2D-107	90
T2D-108	90
